kms_driven,mileage(kmpl),engine(cc),max_power(bhp),torque(Nm),price(in lakhs)
76000,17.99,1462.0,102.34,1032.0,9.25
82000,20.77,1248.0,87.36000000000001,8876.0,6.5
36522,19.01,1199.0,83.93,8482.0,5.44
63000,16.09,1598.0,111.86000000000001,1032.0,5.8
23285,17.74,999.0,69.93,7510.0,5.73
14596,20.7,1197.0,83.79,8186.0,6.41
48401,14.84,2143.0,150.01000000000002,170.0,12.0
34377,21.01,1197.0,83.79,8180.0,7.57
90000,16.09,1995.0,139.65,184.0,12.0
65000,21.7,1498.0,104.86000000000001,9896.0,7.25
89000,24.2,1498.0,104.86000000000001,986.0,5.5
90000,21.7,1498.0,104.86000000000001,9896.0,7.75
66302,19.7,1497.0,104.79,11505.0,11.24
79247,22.41,1197.0,83.79,8850.0,4.1
31655,22.38,1197.0,83.79,8850.0,7.75
16000,18.9,1197.0,83.79,8186.0,5.75
59965,25.5,1498.0,104.86000000000001,986.0,7.61
103209,21.4,1197.0,83.79,831.0,5.02
29497,21.4,1197.0,83.79,831.0,5.59
22849,20.7,1197.0,83.79,8186.0,6.83
66000,22.54,1396.0,97.72000000000001,8873.0,5.75
43000,20.68,1995.0,139.65,190.0,29.5
68000,24.3,1248.0,87.36000000000001,885.0,7.5
35000,20.65,1462.0,102.34,10325.0,6.8
47000,19.56,1197.0,83.79,8180.0,6.75
54000,24.3,1248.0,87.36000000000001,885.0,8.75
72000,18.0,1497.0,104.79,1173.0,6.15
23428,21.01,1197.0,83.79,8180.0,7.14
53000,25.1,1248.0,87.36000000000001,885.0,7.95
47925,16.8,1497.0,104.79,1163.0,4.53
63238,18.9,1197.0,83.79,8186.0,5.15
51376,18.0,1497.0,104.79,1173.0,6.0
35898,18.9,1197.0,83.79,8186.0,5.43
19876,20.89,1197.0,83.79,8180.0,4.92
40451,18.6,1199.0,83.93,8876.0,5.25
60000,17.4,1497.0,104.79,1173.0,5.55
98000,21.01,1197.0,83.79,8180.0,6.0
55000,18.2,1199.0,83.93,887.0,7.5
104000,23.59,1364.0,95.48,6705.0,5.25
57647,24.7,796.0,55.720000000000006,473.0,3.52
76125,18.9,1197.0,83.79,8186.0,4.4
94857,28.4,1248.0,87.36000000000001,7402.0,6.06
51499,18.0,1198.0,83.86000000000001,867.0,4.96
20000,21.79,998.0,69.86000000000001,6705.0,6.1
74661,18.6,1197.0,83.79,8183.0,5.45
38000,18.6,1197.0,83.79,8183.0,5.6
64000,18.6,1197.0,83.79,8183.0,5.5
37000,1197.0,831.0,58.17000000000001,115.0,5.05
92000,22.54,1396.0,97.72000000000001,8873.0,5.95
70000,23.95,998.0,69.86000000000001,6705.0,3.4
83000,17.03,1462.0,102.34,10326.0,7.95
93774,25.5,1498.0,104.86000000000001,986.0,7.15
48728,21.4,1197.0,83.79,831.0,6.66
87001,17.01,1591.0,111.37,1213.0,4.65
50595,20.51,998.0,69.86000000000001,6704.0,4.11
31000,17.1,1199.0,83.93,8850.0,8.5
57000,15.4,1497.0,104.79,1173.0,7.95
56387,18.5,1198.0,83.86000000000001,868.0,4.3
101000,26.0,1498.0,104.86000000000001,986.0,5.75
42000,16.5,1198.0,83.86000000000001,868.0,5.5
50000,25.0,1493.0,104.51,11345.0,13.9
26000,18.9,1197.0,83.79,8186.0,5.95
92001,14.84,2143.0,150.01000000000002,16762.0,11.75
29000,18.5,1198.0,83.86000000000001,868.0,4.5
69000,20.4,1197.0,83.79,8180.0,5.4
37552,18.9,1197.0,83.79,82.0,5.32
84000,17.0,1198.0,83.86000000000001,1085.0,8.7
63420,18.0,1198.0,83.86000000000001,867.0,5.11
68888,18.9,1197.0,83.79,8186.0,4.39
47877,18.5,1198.0,83.86000000000001,868.0,4.72
83337,27.3,1498.0,104.86000000000001,986.0,4.64
61836,19.4,1198.0,83.86000000000001,868.0,4.06
68001,18.19,1197.0,83.79,1032.0,5.9
39813,22.35,1197.0,83.79,8850.0,7.87
74000,17.8,1198.0,83.86000000000001,867.0,6.9
87000,19.4,1198.0,83.86000000000001,868.0,3.5
71000,18.6,1197.0,83.79,8183.0,6.6
75000,23.84,1199.0,83.93,84.0,5.7
