kms_driven,mileage(kmpl),engine(cc),max_power(bhp),torque(Nm),price(in lakhs)
8744,15.2,1997.0,1997.0,150.0,16.01
30000,1493.0,986.0,986.0,24026.0,7.8
72000,12.81,1997.0,1997.0,23736.0,32.5
71361,18.6,1197.0,1197.0,8183.0,5.52
60500,20.68,1995.0,1995.0,188.0,19.95
30000,14.11,1984.0,1984.0,2413.0,49.5
64000,21.7,1498.0,1498.0,9896.0,7.99
26000,11.9,1595.0,1595.0,1207.0,12.45
60000,14.7,1496.0,1496.0,12069.0,6.49
40000,1493.0,9863.0,9863.0,240.0,11.55
65170,20.36,1197.0,1197.0,789.0,3.02
50000,17.5,1199.0,1199.0,887.0,7.25
34838,999.0,6706.0,6706.0,91.0,3.88
72000,12.81,1997.0,1997.0,23736.0,49.5
30466,20.28,998.0,998.0,11841.0,10.5
32000,16.1,1950.0,1950.0,1917.0,44.5
50000,18.0,1969.0,1969.0,190.0,33.0
48946,19.1,1197.0,1197.0,858.0,4.11
43498,18.56,1995.0,1995.0,190.0,29.9
8744,15.2,1997.0,1997.0,150.0,16.01
30000,1493.0,986.0,986.0,24026.0,7.8
72000,12.81,1997.0,1997.0,23736.0,32.5
71361,18.6,1197.0,1197.0,8183.0,5.52
60500,20.68,1995.0,1995.0,188.0,19.95
30000,14.11,1984.0,1984.0,2413.0,49.5
64000,21.7,1498.0,1498.0,9896.0,7.99
26000,11.9,1595.0,1595.0,1207.0,12.45
60000,14.7,1496.0,1496.0,12069.0,6.49
28000,1984.0,18774.0,18774.0,320.0,26.5
89002,17.5,1197.0,1197.0,858.0,2.37
36937,21.4,1197.0,1197.0,831.0,6.4
42000,13.68,2393.0,2393.0,14751.0,18.75
55000,20.37,1995.0,1995.0,18774.0,41.5
70391,21.01,1197.0,1197.0,8180.0,5.12
56000,16.3,1797.0,1797.0,1475.0,4.95
52190,18.9,1197.0,1197.0,82.0,4.31
40000,11.78,2143.0,2143.0,16762.0,9.99
72000,20.38,1968.0,1968.0,143.0,20.0
48173,998.0,671.0,671.0,90.0,2.88
110000,12.05,1995.0,1995.0,154.0,7.3
50000,16.8,1497.0,1497.0,1163.0,3.39
44132,17.9,2143.0,2143.0,1341.0,26.9
90000,17.4,1497.0,1497.0,1173.0,4.75
49000,12.4,1996.0,1996.0,16762.0,33.5
28000,1984.0,18774.0,18774.0,320.0,26.5
89002,17.5,1197.0,1197.0,858.0,2.37
